id,"X","city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","hoa","rent.amount","property.tax","fire.insurance","total"
"3488",3487,0,69,2,1,1,"2","acept","not furnished","R$270","R$800","R$40","R$11","R$1,121"
"3489",3488,1,25,1,1,0,"-","not acept","not furnished","R$0","R$1,350","R$87","R$21","R$1,458"
"3490",3489,1,68,3,2,1,"3","acept","furnished","R$455","R$1,299","R$0","R$17","R$1,771"
"3491",3490,1,30,1,1,1,"10","acept","furnished","R$730","R$1,850","R$70","R$24","R$2,674"
"3492",3491,1,156,2,4,2,"11","acept","not furnished","R$2,690","R$10,000","R$520","R$127","R$13,340"
"3493",3492,1,33,1,1,0,"12","not acept","furnished","R$385","R$3,000","R$125","R$39","R$3,549"
"3494",3493,1,205,3,5,1,"8","acept","not furnished","R$1,805","R$2,800","R$775","R$36","R$5,416"
"3495",3494,1,79,2,3,1,"14","acept","not furnished","R$2,500","R$3,100","R$500","R$40","R$6,140"
"3496",3495,1,70,3,2,1,"4","acept","furnished","R$695","R$2,550","R$284","R$33","R$3,562"
"3497",3496,1,40,1,1,0,"8","not acept","not furnished","R$0","R$1,094","R$0","R$5","R$1,099"
"3498",3497,0,438,5,4,0,"-","acept","not furnished","R$0","R$7,735","R$417","R$117","R$8,269"
"3499",3498,1,30,1,1,0,"-","not acept","not furnished","R$0","R$1,000","R$43","R$13","R$1,056"
"3500",3499,1,212,3,5,3,"7","acept","not furnished","R$2,300","R$7,000","R$1,084","R$89","R$10,470"
"3501",3500,1,32,1,1,0,"3","acept","not furnished","R$515","R$1,700","R$29","R$22","R$2,266"
"3502",3501,1,269,4,4,5,"21","acept","furnished","R$2,980","R$14,000","R$1,834","R$178","R$18,990"
"3503",3502,1,63,2,1,1,"5","acept","not furnished","R$460","R$1,100","R$4","R$14","R$1,578"
"3504",3503,1,39,1,1,0,"10","acept","furnished","R$300","R$2,000","R$0","R$26","R$2,326"
"3505",3504,1,200,3,2,3,"3","acept","not furnished","R$1,600","R$4,000","R$0","R$51","R$5,651"
"3506",3505,1,290,3,3,1,"5","acept","not furnished","R$2,500","R$2,500","R$340","R$32","R$5,372"
"3507",3506,1,30,1,1,1,"18","not acept","not furnished","R$2,000","R$1,950","R$229","R$25","R$4,204"
"3508",3507,1,176,4,5,0,"1","acept","furnished","R$1,350","R$9,500","R$792","R$121","R$11,760"
"3509",3508,1,77,2,2,1,"6","acept","not furnished","R$900","R$3,000","R$80","R$39","R$4,019"
"3510",3509,1,47,1,1,0,"2","acept","not furnished","R$198","R$1,490","R$66","R$19","R$1,773"
"3511",3510,1,135,3,2,0,"3","acept","not furnished","R$1,400","R$4,500","R$317","R$58","R$6,275"
"3512",3511,1,108,2,3,2,"-","acept","not furnished","R$450","R$2,100","R$250","R$32","R$2,832"
"3513",3512,1,212,4,3,2,"17","acept","not furnished","R$2,835","R$13,800","R$694","R$175","R$17,500"
"3514",3513,1,140,2,4,1,"11","acept","not furnished","R$2,200","R$8,900","R$300","R$113","R$11,510"
"3515",3514,0,51,2,1,1,"1","not acept","not furnished","R$390","R$800","R$50","R$11","R$1,251"
"3516",3515,1,42,1,1,1,"9","acept","furnished","R$565","R$3,800","R$24","R$49","R$4,438"
"3517",3516,1,108,3,3,3,"11","acept","furnished","R$1,100","R$4,000","R$455","R$51","R$5,606"
"3518",3517,0,53,1,1,0,"6","acept","not furnished","R$403","R$500","R$15","R$7","R$925"
"3519",3518,1,254,3,3,3,"11","acept","furnished","R$4,255","R$12,750","R$1,692","R$162","R$18,860"
"3520",3519,0,67,3,1,1,"1","not acept","not furnished","R$351","R$900","R$40","R$12","R$1,303"
"3521",3520,1,50,2,1,1,"1","acept","not furnished","R$500","R$2,000","R$3","R$26","R$2,529"
"3522",3521,1,115,4,4,3,"2","acept","not furnished","R$2,600","R$4,000","R$417","R$51","R$7,068"
"3523",3522,0,70,2,1,1,"-","not acept","not furnished","R$341","R$1,184","R$60","R$15","R$1,600"
"3524",3523,1,140,3,4,2,"6","acept","not furnished","R$1,350","R$2,500","R$200","R$32","R$4,082"
"3525",3524,1,156,2,3,2,"8","acept","furnished","R$2,040","R$13,590","R$292","R$173","R$16,090"
"3526",3525,1,295,4,4,4,"21","acept","not furnished","R$3,700","R$9,500","R$1,417","R$121","R$14,740"
"3527",3526,1,42,1,1,1,"5","acept","not furnished","R$330","R$2,100","R$107","R$27","R$2,564"
"3528",3527,1,480,4,5,2,"-","acept","furnished","Sem info","R$6,000","R$2,309","R$91","R$8,400"
"3529",3528,1,65,1,2,2,"3","not acept","furnished","R$950","R$3,400","R$215","R$44","R$4,609"
"3530",3529,1,220,4,5,3,"9","acept","not furnished","R$2,300","R$9,700","R$1,084","R$123","R$13,210"
"3531",3530,1,57,2,1,2,"8","acept","not furnished","R$710","R$2,200","R$75","R$28","R$3,013"
"3532",3531,1,170,3,3,0,"10","acept","not furnished","R$1,900","R$7,500","R$529","R$96","R$10,030"
"3533",3532,0,55,1,1,1,"2","acept","not furnished","R$452","R$850","R$44","R$11","R$1,357"
"3534",3533,1,117,4,5,4,"16","acept","not furnished","R$1,521","R$2,500","R$646","R$32","R$4,699"
"3535",3534,1,280,5,2,1,"-","acept","not furnished","Sem info","R$8,000","R$0","R$121","R$8,121"
"3536",3535,1,140,4,3,2,"10","acept","not furnished","R$2,000","R$3,800","R$334","R$49","R$6,183"
"3537",3536,1,57,2,2,0,"9","acept","not furnished","R$590","R$1,908","R$125","R$25","R$2,648"
"3538",3537,1,200,3,4,2,"-","acept","not furnished","R$0","R$2,500","R$500","R$38","R$3,038"
"3539",3538,1,35,1,1,0,"1","not acept","not furnished","R$0","R$900","R$50","R$12","R$962"
"3540",3539,0,30,1,1,0,"15","acept","not furnished","R$280","R$500","R$10","R$7","R$797"
"3541",3540,1,42,1,1,0,"9","acept","furnished","R$1,290","R$1,500","R$184","R$20","R$2,994"
"3542",3541,0,69,2,1,1,"7","not acept","not furnished","R$485","R$980","R$60","R$13","R$1,538"
"3543",3542,1,60,2,1,1,"7","acept","not furnished","R$460","R$1,230","R$100","R$16","R$1,806"
"3544",3543,1,253,3,5,5,"9","acept","not furnished","R$2,760","R$6,750","R$1,770","R$86","R$11,370"
"3545",3544,1,220,4,5,2,"-","acept","not furnished","R$0","R$6,500","R$1,176","R$98","R$7,774"
"3546",3545,1,127,2,3,2,"1","acept","furnished","R$996","R$3,600","R$292","R$46","R$4,934"
"3547",3546,1,85,3,2,1,"10","acept","furnished","R$700","R$2,730","R$113","R$35","R$3,578"
"3548",3547,1,470,4,6,3,"-","acept","not furnished","R$0","R$7,200","R$1,134","R$109","R$8,443"
"3549",3548,1,124,3,3,2,"16","acept","not furnished","R$1,100","R$2,791","R$339","R$36","R$4,266"
"3550",3549,1,100,2,2,0,"-","not acept","not furnished","R$0","R$3,250","R$0","R$49","R$3,299"
"3551",3550,1,60,2,2,1,"11","acept","not furnished","R$1,680","R$4,000","R$200","R$51","R$5,931"
"3552",3551,1,57,1,1,0,"10","not acept","not furnished","R$500","R$2,200","R$0","R$28","R$2,728"
"3553",3552,1,54,1,1,1,"20","acept","furnished","R$700","R$4,500","R$167","R$58","R$5,425"
"3554",3553,1,84,3,1,1,"6","acept","not furnished","R$670","R$2,180","R$100","R$28","R$2,978"
"3555",3554,1,360,3,4,1,"10","acept","not furnished","R$2,300","R$10,000","R$584","R$127","R$13,010"
"3556",3555,1,51,2,1,0,"12","acept","furnished","R$456","R$2,000","R$0","R$26","R$2,482"
"3557",3556,1,119,2,2,0,"5","acept","not furnished","R$909","R$2,350","R$0","R$30","R$3,289"
"3558",3557,1,70,2,1,0,"-","not acept","not furnished","R$0","R$1,700","R$25","R$26","R$1,751"
"3559",3558,1,100,3,3,2,"3","not acept","not furnished","R$1,100","R$4,350","R$350","R$56","R$5,856"
"3560",3559,1,100,2,1,0,"4","acept","not furnished","R$0","R$1,500","R$50","R$23","R$1,573"
"3561",3560,1,79,2,1,1,"3","acept","not furnished","R$513","R$1,444","R$0","R$19","R$1,976"
"3562",3561,1,220,3,4,3,"2","not acept","not furnished","R$2,500","R$5,150","R$1,250","R$66","R$8,966"
"3563",3562,1,100,3,1,0,"-","acept","not furnished","R$0","R$2,700","R$292","R$41","R$3,033"
"3564",3563,1,108,3,3,2,"2","acept","not furnished","R$1,200","R$3,400","R$334","R$44","R$4,978"
"3565",3564,1,230,2,1,8,"-","acept","not furnished","R$0","R$4,500","R$720","R$68","R$5,288"
"3566",3565,1,103,3,3,2,"3","acept","furnished","R$1,310","R$6,500","R$448","R$83","R$8,341"
"3567",3566,1,90,3,2,2,"2","acept","not furnished","R$1,320","R$1,700","R$225","R$22","R$3,267"
"3568",3567,1,220,4,4,2,"10","acept","not furnished","R$2,500","R$3,200","R$552","R$41","R$6,293"
"3569",3568,1,125,3,2,2,"11","acept","not furnished","R$1,450","R$2,100","R$372","R$27","R$3,949"
"3570",3569,1,54,1,1,1,"8","acept","not furnished","R$1,290","R$3,850","R$209","R$49","R$5,398"
"3571",3570,1,300,5,5,3,"-","acept","not furnished","R$0","R$4,700","R$334","R$71","R$5,105"
"3572",3571,1,280,3,5,3,"-","acept","not furnished","R$0","R$8,000","R$0","R$121","R$8,121"
"3573",3572,1,45,2,2,0,"-","not acept","not furnished","R$0","R$1,650","R$84","R$25","R$1,759"
"3574",3573,0,60,3,1,1,"5","not acept","not furnished","R$600","R$1,800","R$50","R$23","R$2,473"
"3575",3574,1,100,2,2,1,"15","acept","not furnished","R$1,500","R$7,100","R$0","R$90","R$8,690"
"3576",3575,1,40,1,1,1,"10","acept","not furnished","R$700","R$2,600","R$25","R$33","R$3,358"
"3577",3576,1,160,3,2,1,"10","not acept","not furnished","R$1,100","R$2,300","R$109","R$30","R$3,539"
"3578",3577,1,41,2,1,0,"1","acept","not furnished","R$300","R$1,478","R$0","R$19","R$1,797"
"3579",3578,1,350,5,3,6,"-","acept","not furnished","R$0","R$6,070","R$1,084","R$92","R$7,246"
"3580",3579,1,300,3,3,3,"-","acept","not furnished","R$0","R$3,500","R$250","R$53","R$3,803"
"3581",3580,1,89,2,2,2,"20","acept","furnished","R$1,518","R$4,500","R$356","R$58","R$6,432"
"3582",3581,1,325,4,5,7,"-","acept","furnished","R$0","R$13,000","R$825","R$196","R$14,020"
"3583",3582,1,170,2,2,5,"-","acept","not furnished","R$0","R$5,500","R$600","R$83","R$6,183"
"3584",3583,1,520,4,6,4,"-","acept","not furnished","R$0","R$15,000","R$2,250","R$226","R$17,480"
"3585",3584,1,480,4,6,5,"9","acept","not furnished","R$6,660","R$15,000","R$3,063","R$191","R$24,910"
"3586",3585,1,45,1,1,1,"2","acept","not furnished","R$565","R$2,500","R$0","R$32","R$3,097"
"3587",3586,1,89,3,1,1,"2","acept","not furnished","R$1,083","R$2,000","R$255","R$26","R$3,364"
"3588",3587,1,108,3,2,2,"12","not acept","not furnished","R$900","R$2,900","R$202","R$37","R$4,039"
"3589",3588,0,48,2,1,0,"5","acept","not furnished","R$263","R$1,000","R$66","R$13","R$1,342"
"3590",3589,1,160,3,2,2,"18","acept","furnished","R$1,530","R$1,900","R$167","R$25","R$3,622"
"3591",3590,1,160,2,3,3,"-","acept","not furnished","R$0","R$7,500","R$417","R$113","R$8,030"
"3592",3591,1,100,4,3,2,"2","acept","not furnished","R$1,027","R$2,500","R$369","R$32","R$3,928"
"3593",3592,1,75,3,2,1,"21","acept","not furnished","R$501","R$2,900","R$28","R$37","R$3,466"
"3594",3593,1,215,4,4,3,"6","acept","not furnished","R$3,800","R$3,400","R$1,084","R$44","R$8,328"
"3595",3594,1,125,3,4,1,"2","acept","not furnished","R$1,100","R$4,900","R$0","R$63","R$6,063"
"3596",3595,1,94,3,2,3,"5","acept","not furnished","R$820","R$2,200","R$350","R$28","R$3,398"
"3597",3596,1,60,2,1,1,"8","acept","not furnished","R$850","R$2,750","R$0","R$35","R$3,635"
"3598",3597,1,66,2,1,1,"10","not acept","furnished","R$700","R$3,800","R$84","R$27","R$4,611"
"3599",3598,1,300,4,5,4,"-","acept","not furnished","R$0","R$5,000","R$538","R$76","R$5,614"
"3600",3599,1,102,3,3,2,"12","acept","not furnished","R$1,366","R$5,702","R$276","R$73","R$7,417"
"3601",3600,1,462,7,2,3,"-","not acept","not furnished","R$0","R$8,600","R$834","R$130","R$9,564"
"3602",3601,0,51,2,1,2,"13","not acept","not furnished","R$457","R$1,850","R$56","R$24","R$2,387"
"3603",3602,1,120,3,3,2,"-","acept","not furnished","R$0","R$3,500","R$122","R$53","R$3,675"
"3604",3603,1,35,1,1,1,"10","not acept","furnished","R$1,400","R$2,800","R$205","R$36","R$4,441"
"3605",3604,1,229,4,2,3,"2","acept","furnished","R$1,100","R$5,500","R$409","R$70","R$7,079"
"3606",3605,1,530,4,5,6,"-","not acept","not furnished","R$0","R$15,000","R$0","R$226","R$15,230"
"3607",3606,0,74,3,1,1,"3","acept","not furnished","R$350","R$1,000","R$54","R$13","R$1,417"
"3608",3607,1,96,2,1,1,"2","acept","not furnished","R$1,080","R$4,300","R$118","R$55","R$5,553"
"3609",3608,1,181,4,5,3,"5","acept","not furnished","R$2,100","R$2,600","R$579","R$33","R$5,312"
"3610",3609,1,38,1,1,1,"1","acept","not furnished","R$437","R$1,942","R$14","R$9","R$2,402"
"3611",3610,1,260,2,3,4,"-","acept","not furnished","R$0","R$5,500","R$142","R$83","R$5,725"
"3612",3611,1,126,3,2,0,"1","acept","not furnished","R$150","R$2,210","R$125","R$28","R$2,513"
"3613",3612,1,98,1,2,2,"4","not acept","furnished","R$1,750","R$8,400","R$580","R$107","R$10,840"
"3614",3613,1,220,4,3,3,"20","acept","furnished","R$2,080","R$5,500","R$1,092","R$70","R$8,742"
"3615",3614,1,164,3,2,2,"6","acept","not furnished","R$3,182","R$8,500","R$608","R$108","R$12,400"
"3616",3615,1,50,1,1,1,"3","not acept","furnished","R$690","R$4,230","R$36","R$54","R$5,010"
"3617",3616,0,55,2,1,1,"1","acept","not furnished","R$360","R$900","R$53","R$12","R$1,325"
"3618",3617,0,300,4,4,3,"2","acept","not furnished","R$2,300","R$6,000","R$417","R$77","R$8,794"
"3619",3618,1,40,1,1,1,"1","acept","not furnished","R$0","R$1,300","R$30","R$17","R$1,347"
"3620",3619,1,68,2,1,1,"8","acept","not furnished","R$384","R$1,306","R$0","R$17","R$1,707"
"3621",3620,1,220,2,2,3,"-","acept","not furnished","R$0","R$10,500","R$750","R$158","R$11,410"
"3622",3621,1,270,2,3,4,"-","acept","not furnished","R$0","R$3,270","R$169","R$50","R$3,489"
"3623",3622,1,255,3,4,4,"9","acept","furnished","R$1,650","R$5,000","R$125","R$64","R$6,839"
"3624",3623,1,49,1,1,1,"10","not acept","not furnished","R$680","R$2,300","R$200","R$30","R$3,210"
"3625",3624,1,300,3,3,5,"-","acept","not furnished","R$0","R$5,000","R$584","R$76","R$5,660"
"3626",3625,1,300,4,5,2,"6","acept","furnished","R$3,600","R$7,800","R$609","R$99","R$12,110"
"3627",3626,1,38,2,1,0,"5","acept","furnished","R$577","R$3,200","R$50","R$41","R$3,868"
"3628",3627,1,150,3,3,3,"11","acept","not furnished","R$2,270","R$6,000","R$754","R$77","R$9,101"
"3629",3628,0,200,3,2,3,"-","acept","not furnished","R$300","R$2,550","R$600","R$39","R$3,489"
"3630",3629,1,427,4,6,4,"13","acept","not furnished","R$3,440","R$10,000","R$1,350","R$127","R$14,920"
"3631",3630,1,75,3,1,1,"2","acept","furnished","R$770","R$1,900","R$85","R$25","R$2,780"
"3632",3631,1,150,3,3,2,"-","acept","not furnished","Sem info","R$3,300","R$135","R$50","R$3,485"
"3633",3632,1,300,3,1,2,"-","acept","not furnished","R$0","R$4,500","R$292","R$68","R$4,860"
"3634",3633,1,220,3,2,1,"-","acept","not furnished","R$0","R$5,000","R$500","R$76","R$5,576"
"3635",3634,1,213,3,5,5,"10","acept","not furnished","R$3,800","R$6,200","Incluso","R$79","R$10,080"
"3636",3635,1,320,4,6,4,"4","acept","not furnished","R$5,400","R$15,000","R$175","R$191","R$20,770"
"3637",3636,1,84,3,2,1,"3","not acept","furnished","R$741","R$2,175","R$185","R$28","R$3,129"
"3638",3637,1,75,2,1,0,"-","not acept","furnished","R$450","R$2,500","R$94","R$32","R$3,076"
"3639",3638,1,57,2,1,0,"4","acept","not furnished","R$318","R$1,700","R$0","R$22","R$2,040"
"3640",3639,1,16,1,1,0,"1","not acept","not furnished","R$0","R$850","R$9","R$11","R$870"
"3641",3640,0,72,2,2,1,"7","acept","not furnished","R$480","R$850","R$9","R$11","R$1,350"
"3642",3641,1,140,3,4,2,"11","acept","furnished","R$1,750","R$12,000","R$615","R$153","R$14,520"
"3643",3642,0,80,2,2,1,"8","acept","furnished","R$860","R$2,000","R$34","R$26","R$2,920"
"3644",3643,1,170,3,3,3,"7","acept","not furnished","R$2,450","R$3,000","R$1,015","R$39","R$6,504"
"3645",3644,1,67,3,1,1,"9","acept","not furnished","R$626","R$1,550","R$110","R$20","R$2,306"
"3646",3645,1,79,2,1,0,"-","acept","not furnished","R$0","R$2,100","R$218","R$27","R$2,345"
"3647",3646,1,170,3,3,3,"-","acept","not furnished","R$0","R$3,500","R$209","R$53","R$3,762"
"3648",3647,1,120,3,2,1,"6","acept","not furnished","R$850","R$3,200","R$120","R$41","R$4,211"
"3649",3648,0,206,3,2,3,"15","acept","not furnished","R$1,900","R$3,910","R$417","R$50","R$6,277"
"3650",3649,1,249,3,3,1,"9","acept","furnished","R$2,250","R$8,500","R$420","R$108","R$11,280"
"3651",3650,1,120,4,4,2,"5","acept","not furnished","R$2,500","R$9,500","R$116","R$121","R$12,240"
"3652",3651,0,260,3,4,4,"-","acept","not furnished","R$900","R$2,800","R$129","R$43","R$3,872"
"3653",3652,0,120,2,1,0,"3","acept","not furnished","R$830","R$1,100","R$95","R$14","R$2,039"
"3654",3653,1,400,4,6,4,"-","acept","not furnished","R$0","R$15,000","R$1,875","R$226","R$17,100"
"3655",3654,1,165,3,1,3,"-","acept","not furnished","R$0","R$3,400","R$384","R$52","R$3,836"
"3656",3655,1,55,2,1,1,"6","not acept","not furnished","R$450","R$1,800","R$111","R$23","R$2,384"
"3657",3656,1,75,3,2,2,"12","not acept","furnished","R$800","R$2,236","R$64","R$29","R$3,129"
"3658",3657,0,402,4,5,2,"-","acept","furnished","R$450","R$7,500","R$63","R$113","R$8,126"
"3659",3658,0,58,2,1,1,"2","acept","not furnished","R$332","R$1,200","R$25","R$16","R$1,573"
"3660",3659,1,50,1,1,0,"-","not acept","not furnished","R$0","R$1,220","R$0","R$19","R$1,239"
"3661",3660,1,60,4,4,1,"5","acept","not furnished","R$700","R$2,120","R$100","R$27","R$2,947"
"3662",3661,1,280,4,5,4,"18","not acept","not furnished","R$3,600","R$12,000","R$917","R$153","R$16,670"
"3663",3662,1,214,4,4,3,"5","acept","not furnished","R$2,638","R$6,520","R$1,187","R$83","R$10,430"
"3664",3663,1,110,3,1,0,"-","acept","not furnished","R$0","R$2,000","R$0","R$31","R$2,031"
"3665",3664,1,35,1,2,1,"3","not acept","furnished","R$830","R$3,081","R$0","R$9","R$3,920"
"3666",3665,1,320,3,3,8,"-","acept","not furnished","R$0","R$5,500","R$572","R$83","R$6,155"
"3667",3666,1,50,1,1,0,"1","acept","not furnished","R$50","R$750","R$25","R$10","R$835"
"3668",3667,1,128,3,3,0,"3","acept","furnished","R$2,500","R$12,000","R$500","R$153","R$15,150"
"3669",3668,1,70,2,1,1,"1","acept","not furnished","R$300","R$1,100","R$14","R$14","R$1,428"
"3670",3669,1,277,3,2,1,"11","acept","not furnished","R$2,332","R$7,800","R$601","R$99","R$10,830"
"3671",3670,1,200,4,4,3,"9","acept","furnished","R$2,800","R$5,000","R$1,211","R$64","R$9,075"
"3672",3671,1,70,2,2,1,"1","acept","not furnished","R$280","R$1,000","R$138","R$13","R$1,431"
"3673",3672,1,50,1,1,1,"3","acept","not furnished","R$455","R$1,900","R$0","R$25","R$2,380"
"3674",3673,1,130,3,3,2,"3","acept","not furnished","R$1,140","R$4,000","R$292","R$51","R$5,483"
"3675",3674,1,600,6,5,5,"-","acept","furnished","R$0","R$12,000","R$3,334","R$181","R$15,520"
"3676",3675,1,135,3,3,0,"1","not acept","not furnished","R$1,400","R$3,810","R$167","R$49","R$5,426"
"3677",3676,1,27,1,1,0,"5","not acept","not furnished","R$1,405","R$3,500","R$1","R$45","R$4,951"
"3678",3677,1,197,3,1,2,"-","acept","not furnished","R$0","R$2,100","R$290","R$32","R$2,422"
"3679",3678,1,400,10,5,8,"-","acept","not furnished","R$0","R$10,900","R$1,417","R$164","R$12,480"
"3680",3679,0,92,3,2,3,"1","acept","furnished","R$752","R$2,525","R$0","R$32","R$3,309"
"3681",3680,1,119,3,3,1,"8","not acept","furnished","R$790","R$3,750","R$135","R$48","R$4,723"
"3682",3681,1,16,1,1,0,"2","acept","not furnished","R$397","R$899","R$18","R$12","R$1,326"
"3683",3682,1,45,2,1,1,"8","acept","not furnished","R$450","R$2,010","R$3","R$26","R$2,489"
"3684",3683,1,57,2,1,1,"5","acept","furnished","R$550","R$2,450","R$63","R$32","R$3,095"
"3685",3684,1,22,1,1,0,"5","acept","not furnished","R$423","R$1,600","R$0","R$21","R$2,044"
"3686",3685,1,116,3,2,2,"5","acept","not furnished","R$1,884","R$3,800","R$518","R$49","R$6,251"
"3687",3686,1,33,1,1,0,"3","acept","not furnished","R$350","R$1,650","R$0","R$21","R$2,021"
"3688",3687,0,250,4,4,0,"-","acept","not furnished","R$750","R$3,825","R$369","R$58","R$5,002"
"3689",3688,1,128,2,3,2,"1","acept","not furnished","R$1,500","R$7,500","R$334","R$96","R$9,430"
"3690",3689,1,58,2,2,0,"2","acept","not furnished","R$940","R$1,250","R$107","R$16","R$2,313"
"3691",3690,1,105,3,2,2,"6","acept","not furnished","R$1,002","R$2,583","R$35","R$33","R$3,653"
"3692",3691,1,41,1,1,1,"3","acept","furnished","R$534","R$2,800","R$133","R$36","R$3,503"
"3693",3692,1,90,3,1,1,"1","acept","not furnished","R$1,000","R$3,000","R$50","R$39","R$4,089"
"3694",3693,1,100,3,3,2,"2","not acept","not furnished","R$1,300","R$2,300","R$363","R$30","R$3,993"
"3695",3694,1,890,5,6,8,"-","not acept","not furnished","R$0","R$11,000","R$9,500","R$166","R$20,670"
"3696",3695,1,180,3,4,3,"5","acept","furnished","R$2,800","R$9,000","R$1,125","R$115","R$13,040"
"3697",3696,1,136,3,3,2,"8","not acept","furnished","R$1,535","R$9,900","R$482","R$126","R$12,040"
"3698",3697,1,175,1,3,2,"19","not acept","furnished","R$900","R$4,142","R$0","R$53","R$5,095"
"3699",3698,0,100,3,2,2,"3","acept","not furnished","R$885","R$1,200","R$80","R$16","R$2,181"
"3700",3699,1,65,2,2,1,"9","acept","not furnished","R$541","R$1,550","R$117","R$20","R$2,228"
"3701",3700,1,50,2,1,0,"2","not acept","not furnished","R$1,000","R$1,000","R$45","R$13","R$2,058"
"3702",3701,1,105,3,3,1,"5","acept","not furnished","R$980","R$2,150","R$0","R$28","R$3,158"
"3703",3702,1,108,3,3,2,"3","acept","not furnished","R$1,800","R$4,800","R$393","R$61","R$7,054"
"3704",3703,1,55,1,1,0,"1","not acept","not furnished","R$150","R$730","R$0","R$10","R$890"
"3705",3704,1,46,2,1,1,"5","acept","not furnished","R$500","R$1,418","R$0","R$6","R$1,924"
"3706",3705,1,71,3,4,0,"-","acept","not furnished","R$0","R$4,000","R$0","R$61","R$4,061"
"3707",3706,1,93,3,2,2,"10","acept","not furnished","R$1,040","R$2,600","R$240","R$33","R$3,913"
"3708",3707,1,60,2,2,1,"11","acept","furnished","R$1,680","R$6,000","R$200","R$77","R$7,957"
"3709",3708,1,250,3,2,5,"-","not acept","not furnished","R$0","R$4,500","R$1,000","R$68","R$5,568"
"3710",3709,1,150,3,3,2,"3","acept","furnished","R$2,100","R$2,000","R$584","R$26","R$4,710"
"3711",3710,1,90,2,1,1,"1","acept","not furnished","R$1,000","R$3,000","R$50","R$39","R$4,089"
"3712",3711,1,140,3,3,3,"7","not acept","not furnished","R$2,200","R$8,000","R$800","R$102","R$11,100"
"3713",3712,0,68,2,1,0,"-","acept","not furnished","R$0","R$1,650","R$14","R$25","R$1,689"
"3714",3713,1,530,4,5,6,"-","acept","not furnished","R$0","R$5,950","R$1,200","R$90","R$7,240"
"3715",3714,1,141,4,3,2,"3","acept","not furnished","R$1,500","R$4,325","R$542","R$55","R$6,422"
"3716",3715,1,44,2,1,0,"3","acept","not furnished","R$490","R$1,200","R$30","R$16","R$1,736"
"3717",3716,1,50,2,1,1,"1","not acept","not furnished","R$520","R$1,439","Incluso","R$19","R$1,978"
"3718",3717,1,216,3,5,0,"14","not acept","furnished","R$3,200","R$15,000","R$1,500","R$191","R$19,890"
"3719",3718,1,60,2,2,1,"1","acept","not furnished","R$862","R$2,514","R$0","R$32","R$3,408"
"3720",3719,1,20,1,1,0,"-","acept","not furnished","R$20","R$1,200","R$25","R$19","R$1,264"
"3721",3720,1,250,3,4,0,"1","acept","furnished","R$2,000","R$10,000","R$1,667","R$127","R$13,790"
"3722",3721,0,92,3,2,2,"13","acept","furnished","R$720","R$3,200","R$139","R$41","R$4,100"
"3723",3722,1,90,2,1,1,"-","not acept","not furnished","R$0","R$2,250","R$0","R$34","R$2,284"
"3724",3723,1,60,2,2,2,"2","acept","not furnished","R$2,340","R$3,570","R$284","R$46","R$6,240"
"3725",3724,1,32,1,1,0,"1","not acept","not furnished","R$26","R$1,290","R$33","R$17","R$1,366"
"3726",3725,1,50,1,1,1,"-","acept","not furnished","Incluso","R$2,592","R$0","R$24","R$2,616"
"3727",3726,1,250,4,5,4,"1","acept","not furnished","R$4,200","R$12,000","R$1,667","R$153","R$18,020"
"3728",3727,1,350,4,5,4,"2","acept","furnished","R$5,000","R$15,000","R$0","R$191","R$20,190"
"3729",3728,0,73,3,2,2,"6","not acept","not furnished","R$812","R$1,500","R$204","R$20","R$2,536"
"3730",3729,1,74,3,2,1,"14","acept","not furnished","R$510","R$1,980","R$8","R$26","R$2,524"
"3731",3730,0,200,3,2,3,"-","acept","not furnished","R$0","R$2,000","R$153","R$31","R$2,184"
"3732",3731,1,230,2,3,1,"1","acept","furnished","R$3,000","R$12,000","R$450","R$153","R$15,600"
"3733",3732,1,200,3,2,5,"-","acept","not furnished","R$0","R$7,000","R$963","R$106","R$8,069"
"3734",3733,1,40,2,1,0,"16","not acept","not furnished","R$300","R$1,644","R$0","R$21","R$1,965"
"3735",3734,1,71,2,1,1,"7","acept","not furnished","R$785","R$2,559","R$0","R$32","R$3,376"
"3736",3735,0,200,3,3,2,"-","acept","not furnished","R$650","R$2,210","R$184","R$34","R$3,078"
"3737",3736,1,60,2,1,0,"-","acept","not furnished","R$0","R$1,700","R$245","R$26","R$1,971"
"3738",3737,1,170,6,5,1,"-","acept","not furnished","R$0","R$3,468","R$0","R$53","R$3,521"
"3739",3738,1,298,4,6,5,"-","acept","furnished","R$0","R$8,450","R$750","R$128","R$9,328"
"3740",3739,1,75,3,2,1,"8","not acept","not furnished","R$705","R$1,900","R$70","R$25","R$2,700"
"3741",3740,1,480,4,6,5,"-","acept","not furnished","R$0","R$15,000","R$1,572","R$226","R$16,800"
"3742",3741,1,142,3,4,2,"4","acept","not furnished","R$1,100","R$4,500","R$375","R$58","R$6,033"
"3743",3742,1,77,3,1,2,"6","acept","not furnished","R$900","R$3,400","R$191","R$44","R$4,535"
"3744",3743,1,15,1,1,0,"1","not acept","furnished","R$0","R$1,550","R$0","R$20","R$1,570"
"3745",3744,1,350,3,4,3,"8","acept","furnished","R$2,430","R$8,000","R$1,250","R$102","R$11,780"
